Season,Team1,Team2,WinRatio,PPG,AllowedPPG,Team1WinPer
2014,3103,3194,0.17399999999999993,5.349000000000004,-0.10900000000000887,1.0
2014,3373,3107,-0.585,-10.233000000000004,14.213999999999999,0.0
2014,3358,3116,-0.20400000000000001,-2.7099999999999937,15.829,0.0
2014,3276,3132,-0.29000000000000004,-1.0649999999999977,8.225999999999999,0.0
2014,3133,3228,-0.009000000000000008,2.1839999999999975,7.022000000000006,1.0
2014,3138,3127,0.38500000000000006,17.778,2.8840000000000003,1.0
2014,3139,3156,0.052000000000000046,-10.271,-11.296999999999997,1.0
2014,3140,3355,0.10200000000000009,2.1170000000000044,-2.4150000000000063,1.0
2014,3143,3253,0.16899999999999993,0.7750000000000057,-4.358000000000004,1.0
2014,3178,3145,-0.254,11.983000000000004,17.403999999999996,0.0
2014,3146,3108,0.30400000000000005,6.609999999999999,-11.007000000000005,1.0
2014,3150,3251,-0.121,-1.088000000000008,6.936,1.0
2014,3151,3104,0.4389999999999999,5.481000000000009,-12.710999999999999,1.0
2014,3158,3244,0.3479999999999999,8.931999999999995,-3.4010000000000105,1.0
2014,3162,3254,-0.086,0.4029999999999987,8.893,1.0
2014,3165,3159,0.23299999999999998,1.3100000000000023,-8.730999999999995,1.0
2014,3170,3169,0.03799999999999992,14.60199999999999,16.775000000000006,1.0
2014,3155,3172,-0.09399999999999997,-10.406000000000006,-4.969000000000008,0.0
2014,3348,3174,-0.4600000000000001,-9.169999999999995,2.8329999999999984,0.0
2014,3217,3177,-0.03400000000000003,-11.471999999999994,-6.184000000000012,0.0
2014,3166,3179,0.06299999999999994,-5.437000000000012,-9.155999999999992,0.0
2014,3142,3182,-0.03200000000000003,7.289999999999992,13.516000000000005,0.0
2014,3275,3184,-0.28500000000000003,-3.0999999999999943,6.615000000000009,0.0
2014,3191,3183,0.07100000000000001,4.119,-2.4099999999999966,1.0
2014,3412,3193,-0.15100000000000002,6.374000000000002,4.849000000000004,0.0
2014,3195,3198,0.35,1.519999999999996,-9.763999999999996,1.0
2014,3126,3196,-0.25599999999999995,-17.060999999999993,-5.878999999999991,0.0
2014,3239,3197,-0.09999999999999992,-7.266999999999996,-5.799999999999997,0.0
2014,3199,3422,0.41200000000000003,7.081000000000003,-8.781000000000006,1.0
2014,3200,3362,0.3939999999999999,-2.096999999999994,-19.519000000000005,1.0
2014,3207,3350,-0.14400000000000007,0.8380000000000081,5.451999999999998,1.0
2014,3164,3210,-0.128,-14.571999999999989,-4.974000000000018,0.0
2014,3225,3211,-0.137,-1.7129999999999939,6.2280000000000015,0.0
2014,3220,3352,-0.19199999999999995,-7.4950000000000045,0.6610000000000014,1.0
2014,3221,3171,0.446,14.432999999999993,-3.789999999999992,1.0
2014,3223,3426,0.25499999999999995,5.825999999999993,0.29699999999999704,1.0
2014,3233,3112,0.6720000000000002,16.03600000000001,0.902000000000001,1.0
2014,3234,3415,0.551,11.46799999999999,-6.048000000000002,1.0
2014,3438,3241,-0.39599999999999996,-4.891999999999996,13.507000000000005,0.0
2014,3398,3243,-0.0,5.82800000000001,6.24199999999999,0.0
2014,3246,3265,-0.06799999999999995,8.767999999999986,9.010999999999996,1.0
2014,3248,3351,-0.0019999999999999463,0.4170000000000016,1.3390000000000128,1.0
2014,3310,3250,-0.08600000000000002,-3.9059999999999917,-0.6869999999999976,0.0
2014,3261,3372,0.013000000000000012,1.7459999999999951,2.8900000000000077,1.0
2014,3378,3268,-0.20000000000000007,-15.733999999999995,-2.7659999999999982,0.0
2014,3190,3272,-0.119,1.983000000000004,2.8940000000000055,0.0
2014,3273,3441,0.07899999999999996,2.658999999999992,1.823999999999998,1.0
2014,3316,3274,-0.3539999999999999,-14.903000000000006,1.2399999999999949,0.0
2014,3279,3240,-0.050999999999999934,8.600000000000009,8.150999999999996,1.0
2014,3280,3222,0.344,16.814999999999998,-4.006000000000007,1.0
2014,3387,3281,-0.15300000000000008,-8.266999999999996,-0.9230000000000018,0.0
2014,3287,3313,-0.014000000000000068,3.362000000000002,1.0729999999999933,1.0
2014,3406,3298,-0.341,-8.960999999999999,5.323,0.0
2014,3382,3301,-0.07699999999999996,-13.660000000000004,-6.077000000000005,0.0
2014,3417,3304,-0.4059999999999999,-12.68,4.969999999999992,0.0
2014,3305,3430,0.3600000000000001,6.578000000000003,0.43899999999999295,1.0
2014,3314,3102,0.693,27.076,-10.693999999999988,1.0
2014,3131,3318,-0.006000000000000061,-4.226999999999997,-2.4540000000000077,0.0
2014,3326,3452,-0.389,-7.132999999999996,7.442000000000007,1.0
2014,3328,3391,-0.23299999999999998,-2.7789999999999964,2.024000000000001,1.0
2014,3249,3329,-0.15600000000000003,-0.4200000000000017,8.086000000000006,0.0
2014,3384,3336,-0.29000000000000004,6.5090000000000146,18.375,0.0
2014,3337,3370,-0.30600000000000005,-7.7690000000000055,4.924999999999997,1.0
2014,3338,3137,-0.19700000000000006,-4.774999999999999,0.9760000000000133,1.0
2014,3186,3339,0.04999999999999999,0.38800000000000523,1.288000000000011,0.0
2014,3344,3262,0.08499999999999999,4.167000000000002,-7.147999999999996,1.0
2014,3346,3299,-0.15699999999999992,7.954999999999998,12.387,1.0
2014,3349,3341,-0.019000000000000017,-2.95600000000001,-3.6410000000000053,1.0
2014,3367,3271,0.2569999999999999,3.256999999999998,-2.1299999999999955,1.0
2014,3369,3105,0.121,-2.6899999999999977,-6.864000000000004,1.0
